0	0	0	11	5	0	0	0	0	0	4	
1	1	0	16	20	2	0	0	0	0	4	
2	2	0	20	27	0	0	0	0	0	5	
3	3	0	19	35	0	3	0	2	3	4	
4	4	0	24	35	0	0	0	0	8	2	
5	5	0	21	57	3	0	5	0	5	2	
6	6	0	21	60	14	0	7	4	1	6	
7	7	0	18	74	5	0	0	0	0	11	
8	8	0	28	57	0	0	0	0	0	3	
9	9	0	42	63	3	0	0	0	0	5	
10	10	0	39	61	7	0	0	0	1	4	
11	11	0	37	70	16	0	0	2	3	4	
12	12	0	33	70	39	0	0	0	2	0	
13	13	0	36	75	25	0	0	0	0	0	
14	14	0	35	69	9	0	5	0	1	0	
15	15	0	38	41	8	2	2	0	2	0	
16	16	0	34	19	10	0	2	0	0	0	
17	17	0	35	46	7	0	0	0	1	3	
18	18	0	36	38	0	0	0	3	2	6	
19	19	0	30	33	0	0	0	0	0	6	
20	20	0	29	17	0	0	0	0	0	4	
21	21	0	33	8	3	0	2	0	0	0	
22	22	0	36	13	1	0	0	0	0	0	
23	23	0	31	3	0	2	2	2	0	1	
24	24	0	34	4	0	0	0	0	0	3	
25	25	0	36	15	0	0	0	0	0	2	
26	26	0	32	13	4	2	0	2	0	8	
27	27	0	22	6	5	0	0	2	0	15	
28	28	0	41	8	0	0	0	1	0	11	
29	29	0	44	6	0	7	8	5	0	11	
30	30	0	41	6	0	0	6	9	3	11	
31	31	0	20	5	3	0	9	6	1	23	
32	32	0	25	1	1	0	33	1	2	33	
33	33	0	27	2	2	9	10	11	0	43	
34	34	0	33	5	26	12	26	24	4	40	
35	35	0	31	9	27	23	4	12	20	23	
36	36	0	5	19	20	25	0	18	2	9	
37	37	0	5	34	14	20	0	1	10	4	
38	38	0	3	34	11	3	0	0	2	12	
39	39	0	3	31	3	0	0	0	8	9	
40	40	0	7	27	2	0	2	0	2	2	
41	41	0	7	21	3	1	0	0	2	0	
42	42	0	11	14	9	3	5	1	0	0	
43	43	0	28	10	27	0	1	2	3	0	
44	44	0	45	11	91	0	0	0	0	0	
45	45	0	58	17	57	5	1	0	0	0	
46	46	0	69	27	8	15	0	1	4	0	
